Date,AdjClose
19/09/2019,54.42917252
20/09/2019,53.63352585
23/09/2019,53.87739182
24/09/2019,53.62120438
25/09/2019,54.44641876
26/09/2019,54.16560364
27/09/2019,53.90203094
30/09/2019,55.17062759
01/10/2019,55.32335281
02/10/2019,53.93651199
03/10/2019,54.39468384
04/10/2019,55.91947174
07/10/2019,55.9317894
08/10/2019,55.27655029
09/10/2019,55.9243927
10/10/2019,56.67817307
11/10/2019,58.18571472
14/10/2019,58.1019516
15/10/2019,57.96648026
16/10/2019,57.73246384
17/10/2019,57.95662308
18/10/2019,58.23498154
21/10/2019,59.24493408
22/10/2019,59.10945129
23/10/2019,59.90263367
24/10/2019,60.0011673
25/10/2019,60.74015808
28/10/2019,61.34859467
29/10/2019,59.92973328
30/10/2019,59.92234039
31/10/2019,61.27716064
01/11/2019,63.01625824
04/11/2019,63.43008804
05/11/2019,63.3389473
06/11/2019,63.36604309
07/11/2019,64.09736633
08/11/2019,64.272789
11/11/2019,64.78175354
12/11/2019,64.72244263
13/11/2019,65.34259796
14/11/2019,64.89047241
15/11/2019,65.66132355
18/11/2019,65.99239349
19/11/2019,65.79226685
20/11/2019,65.0263443
21/11/2019,64.7348175
22/11/2019,64.67797089
25/11/2019,65.81202698
26/11/2019,65.29813385
27/11/2019,66.17523193
29/11/2019,66.02944946
02/12/2019,65.26600647
03/12/2019,64.10231018
04/12/2019,64.66809845
05/12/2019,65.61683655
06/12/2019,66.88431549
09/12/2019,65.94792938
10/12/2019,66.33335114
11/12/2019,66.8991394
12/12/2019,67.06962585
13/12/2019,67.98130035
16/12/2019,69.14499664
17/12/2019,69.28089905
18/12/2019,69.11534882
19/12/2019,69.18453217
20/12/2019,69.04123688
23/12/2019,70.16788483
24/12/2019,70.23458099
26/12/2019,71.62806702
27/12/2019,71.60087585
30/12/2019,72.02583313
31/12/2019,72.55209351
02/01/2020,74.20746613
03/01/2020,73.48602295
06/01/2020,74.07157898
07/01/2020,73.7232132
08/01/2020,74.90914917
09/01/2020,76.50027466
10/01/2020,76.6732254
13/01/2020,78.31129456
14/01/2020,77.25383759
15/01/2020,76.92277527
16/01/2020,77.88633728
17/01/2020,78.74861908
21/01/2020,78.21495056
22/01/2020,78.49414063
23/01/2020,78.87215424
24/01/2020,78.64485168
27/01/2020,76.33227539
28/01/2020,78.4916687
29/01/2020,80.13467407
30/01/2020,80.01855469
31/01/2020,76.47063446
03/02/2020,76.26062775
04/02/2020,78.77826691
05/02/2020,79.42064667
06/02/2020,80.34963226
07/02/2020,79.25746918
10/02/2020,79.6339035
11/02/2020,79.15344238
12/02/2020,81.03316498
13/02/2020,80.45611572
14/02/2020,80.47593689
18/02/2020,79.00238037
19/02/2020,80.14654541
20/02/2020,79.32433319
21/02/2020,77.52880859
24/02/2020,73.84616089
25/02/2020,71.344841
26/02/2020,72.47663116
27/02/2020,67.7389679
28/02/2020,67.69934082
02/03/2020,74.00219727
03/03/2020,71.65193176
04/03/2020,74.97547913
05/03/2020,72.54349518
06/03/2020,71.5801239
09/03/2020,65.91869354
10/03/2020,70.6662674
11/03/2020,68.21199036
12/03/2020,61.47573853
13/03/2020,68.84103394
16/03/2020,59.98484421
17/03/2020,62.62238693
18/03/2020,61.08939362
19/03/2020,60.62131882
20/03/2020,56.77274704
23/03/2020,55.56665802
24/03/2020,61.14140701
25/03/2020,60.80458832
26/03/2020,64.00431061
27/03/2020,61.35438538
30/03/2020,63.10531235
31/03/2020,62.97653198
01/04/2020,59.6628952
02/04/2020,60.65847015
03/04/2020,59.78672409
06/04/2020,65.00235748
07/04/2020,64.24948883
08/04/2020,65.89392853
09/04/2020,66.36941528
13/04/2020,67.67209625
14/04/2020,71.08974457
15/04/2020,70.44089508
16/04/2020,71.00060272
17/04/2020,70.03721619
20/04/2020,68.58347321
21/04/2020,66.46353912
22/04/2020,68.37792206
23/04/2020,68.11292267
24/04/2020,70.07931519
27/04/2020,70.12885284
28/04/2020,68.99211884
29/04/2020,71.25816345
30/04/2020,72.76143646
01/05/2020,71.59003448
04/05/2020,72.60293579
05/05/2020,73.69262695
06/05/2020,74.45292664
07/05/2020,75.2231369
08/05/2020,77.01358032
11/05/2020,78.22541046
12/05/2020,77.33143616
13/05/2020,76.39772034
14/05/2020,76.86706543
15/05/2020,76.41262054
18/05/2020,78.21299744
19/05/2020,77.76103973
20/05/2020,79.27335358
21/05/2020,78.68232727
22/05/2020,79.1889267
26/05/2020,78.65254211
27/05/2020,78.995224
28/05/2020,79.02998352
29/05/2020,78.95301819
01/06/2020,79.92396545
02/06/2020,80.2939682
03/06/2020,80.73599243
04/06/2020,80.04067993
05/06/2020,82.32032776
08/06/2020,82.80703735
09/06/2020,85.42192078
10/06/2020,87.61961365
